epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8692,3.03661,4.21617,4.14976,0.01079,0.68497,0.01262,0.00419,2.78223,4.04712,3.8942,0.000330688,0.000330688,0.000330688
2,27.0508,2.69697,3.80414,3.47748,0.1931,0.04846,0.01251,0.00394,2.20196,5.01522,3.49048,0.000650874,0.000650874,0.000650874
3,35.3357,2.0339,3.33239,2.76051,0.29358,0.15786,0.09839,0.04484,1.83853,3.94905,2.91506,0.000957859,0.000957859,0.000957859
4,43.4582,1.62701,2.82617,2.3159,0.32958,0.34913,0.18275,0.10136,1.35364,2.37578,2.22448,0.0009406,0.0009406,0.0009406
5,51.4419,1.35649,2.42318,2.02183,0.32108,0.51351,0.27357,0.16754,1.23025,2.63133,2.03863,0.0009208,0.0009208,0.0009208
6,59.4164,1.18094,2.16246,1.82128,0.37379,0.57731,0.32476,0.24187,0.96224,1.84496,1.69183,0.000901,0.000901,0.000901
7,67.2995,1.07649,1.98462,1.69102,0.22957,0.62039,0.3099,0.22188,0.84802,1.83663,1.5395,0.0008812,0.0008812,0.0008812
8,75.4111,1.00334,1.8816,1.61969,0.36935,0.62485,0.33077,0.27869,0.73546,1.75562,1.43755,0.0008614,0.0008614,0.0008614
9,83.5238,0.94236,1.80824,1.56393,0.42579,0.65387,0.38192,0.30541,0.72444,1.51078,1.37311,0.0008416,0.0008416,0.0008416
10,91.6975,0.88755,1.71669,1.50669,0.43077,0.55372,0.39432,0.33199,0.67082,1.52461,1.31785,0.0008218,0.0008218,0.0008218
11,99.6495,0.87369,1.69462,1.48798,0.42801,0.58562,0.44651,0.36777,0.66304,1.43528,1.27378,0.000802,0.000802,0.000802
12,107.686,0.85036,1.64067,1.47247,0.45666,0.54826,0.45845,0.38967,0.65301,1.43857,1.24288,0.0007822,0.0007822,0.0007822
13,115.641,0.83732,1.60104,1.44785,0.50149,0.56428,0.43196,0.36404,0.61087,1.43672,1.2179,0.0007624,0.0007624,0.0007624
14,123.727,0.78421,1.53643,1.4041,0.52427,0.5835,0.48221,0.42664,0.57188,1.32404,1.20448,0.0007426,0.0007426,0.0007426
15,131.579,0.7878,1.51558,1.409,0.47392,0.63688,0.46023,0.40121,0.54488,1.32348,1.16575,0.0007228,0.0007228,0.0007228
16,139.693,0.75787,1.50591,1.38311,0.55484,0.60389,0.51369,0.44003,0.60392,1.27212,1.19216,0.000703,0.000703,0.000703
17,147.718,0.75734,1.45852,1.381,0.56284,0.6003,0.54964,0.47773,0.56326,1.27448,1.14781,0.0006832,0.0006832,0.0006832
18,155.747,0.7268,1.42939,1.35046,0.59357,0.55121,0.56875,0.50004,0.50971,1.24087,1.09583,0.0006634,0.0006634,0.0006634
19,163.803,0.71695,1.39954,1.32907,0.61133,0.61452,0.60571,0.54021,0.49537,1.1568,1.09532,0.0006436,0.0006436,0.0006436
20,171.684,0.70774,1.35913,1.32926,0.4614,0.65936,0.56015,0.48365,0.52953,1.23298,1.11743,0.0006238,0.0006238,0.0006238
21,179.509,0.69387,1.33708,1.31765,0.46795,0.67482,0.57045,0.50027,0.50953,1.1981,1.09722,0.000604,0.000604,0.000604
22,187.556,0.68155,1.30494,1.3052,0.68133,0.58907,0.62798,0.55667,0.45932,1.07483,1.04233,0.0005842,0.0005842,0.0005842
23,195.498,0.6647,1.29398,1.28126,0.62228,0.61432,0.57759,0.51895,0.4579,1.19685,1.03628,0.0005644,0.0005644,0.0005644
24,203.53,0.6553,1.27869,1.27483,0.68934,0.56872,0.64204,0.5668,0.51251,1.05278,1.06903,0.0005446,0.0005446,0.0005446
25,211.523,0.67006,1.25863,1.29271,0.71635,0.56475,0.66164,0.59239,0.43814,1.05537,1.01734,0.0005248,0.0005248,0.0005248
26,219.464,0.65806,1.24943,1.28735,0.72535,0.61021,0.70177,0.62403,0.46174,0.97647,1.05774,0.000505,0.000505,0.000505
27,227.223,0.6448,1.2125,1.27215,0.73537,0.62402,0.71306,0.63888,0.4547,0.95167,1.02711,0.0004852,0.0004852,0.0004852
28,235.358,0.62749,1.1996,1.25677,0.71159,0.59387,0.66733,0.60277,0.43221,0.9955,1.01262,0.0004654,0.0004654,0.0004654
29,243.423,0.61515,1.18545,1.24618,0.73357,0.64908,0.7271,0.65457,0.44838,0.92891,1.00353,0.0004456,0.0004456,0.0004456
30,251.408,0.6302,1.17868,1.25882,0.54054,0.71834,0.69311,0.62425,0.43478,0.99,0.99866,0.0004258,0.0004258,0.0004258
31,259.431,0.60269,1.17233,1.24088,0.65293,0.73721,0.72591,0.66212,0.40702,0.92674,0.9897,0.000406,0.000406,0.000406
32,267.484,0.5978,1.12924,1.22946,0.55769,0.76074,0.72025,0.65404,0.43158,0.91195,0.99327,0.0003862,0.0003862,0.0003862
33,275.379,0.58978,1.13084,1.22223,0.66121,0.69747,0.72127,0.65406,0.40673,1.00143,0.9708,0.0003664,0.0003664,0.0003664
34,283.39,0.57288,1.09969,1.21928,0.64128,0.74245,0.74113,0.68107,0.39652,0.88146,0.96033,0.0003466,0.0003466,0.0003466
35,291.302,0.59238,1.10698,1.23048,0.56509,0.72634,0.703,0.63804,0.41477,0.97104,0.97202,0.0003268,0.0003268,0.0003268
36,299.163,0.56972,1.08156,1.21831,0.6493,0.75687,0.77437,0.70796,0.39079,0.83131,0.95967,0.000307,0.000307,0.000307
37,306.974,0.57002,1.06496,1.21447,0.69158,0.73242,0.7825,0.72294,0.35749,0.83141,0.92911,0.0002872,0.0002872,0.0002872
38,314.99,0.56513,1.05508,1.20584,0.69328,0.71771,0.78192,0.71644,0.3915,0.81231,0.95568,0.0002674,0.0002674,0.0002674
39,322.793,0.5545,1.07354,1.19895,0.63102,0.67958,0.74668,0.67953,0.40397,0.87313,0.95304,0.0002476,0.0002476,0.0002476
40,330.747,0.5647,1.03812,1.21319,0.61713,0.74482,0.75807,0.69283,0.38715,0.82507,0.9523,0.0002278,0.0002278,0.0002278
41,345.958,0.36915,0.86015,1.08487,0.65992,0.74615,0.76886,0.71347,0.36711,0.81477,0.93037,0.000208,0.000208,0.000208
42,353.827,0.35518,0.79491,1.07417,0.73899,0.69142,0.78139,0.72739,0.36024,0.79813,0.92344,0.0001882,0.0001882,0.0001882
43,361.676,0.33743,0.7538,1.04902,0.71163,0.73361,0.80614,0.75491,0.33575,0.71839,0.8961,0.0001684,0.0001684,0.0001684
44,369.623,0.33389,0.7577,1.04636,0.67595,0.77294,0.79689,0.75102,0.33286,0.75987,0.89416,0.0001486,0.0001486,0.0001486
45,377.625,0.32603,0.722,1.04764,0.71481,0.73693,0.80196,0.75378,0.32736,0.75375,0.88718,0.0001288,0.0001288,0.0001288
46,385.547,0.31954,0.73696,1.02969,0.66514,0.79721,0.8126,0.76436,0.33093,0.72388,0.89701,0.000109,0.000109,0.000109
47,393.423,0.31655,0.69443,1.03384,0.77579,0.7483,0.83083,0.77863,0.32581,0.69481,0.88483,8.92e-05,8.92e-05,8.92e-05
48,401.262,0.30936,0.68997,1.03539,0.6896,0.80841,0.82705,0.77974,0.31229,0.68082,0.87473,6.94e-05,6.94e-05,6.94e-05
49,409.102,0.30287,0.67295,1.01702,0.6712,0.8107,0.82244,0.77813,0.31462,0.69444,0.87472,4.96e-05,4.96e-05,4.96e-05
50,416.994,0.30207,0.6594,1.02276,0.71803,0.78634,0.82613,0.77899,0.31202,0.66643,0.86897,2.98e-05,2.98e-05,2.98e-05
